chengyu,pinyin,english_definition,category,sub_category
一唱一和,yī chàng yī hè,to echo one another (idiom),数字成语 Digital idioms,
一呼百应,yī hū bǎi yìng,(idiom) (of a call) to elict an enthusiastic response; to receive extensive approval,数字成语 Digital idioms,
一干二净,yī gān èr jìng,thoroughly (idiom)/completely/one and all/very clean,数字成语 Digital idioms,
一举两得,yī jǔ liǎng dé,"one move, two gains (idiom); two birds with one stone",数字成语 Digital idioms,
一落千丈,yī luò qiān zhàng,"lit. to drop a thousand zhang in one fall (idiom)/fig. (of business, popularity etc) to suffer a sudden, devastating decline/to take a dive",数字成语 Digital idioms,
一模一样一暴十寒,yī mú yī yàng yī pù shí hán,,数字成语 Digital idioms,
一心一意,yì xīn yí yì,concentrating one's thoughts and efforts/single-minded/bent on/intently,数字成语 Digital idioms,
一败涂地,yī bài tú dì,"lit. defeated, the ground blanketed with bodies (idiom)/fig. to suffer a crushing defeat",数字成语 Digital idioms,
一本正经,yī běn zhèng jīng,in deadly earnest; deadpan,数字成语 Digital idioms,
一臂之力,yī bì zhī lì,,数字成语 Digital idioms,
一尘不染,yī chén bù rǎn,(idiom) untainted by even a speck of dust; spotlessly clean; (of a person) honest; incorruptible,数字成语 Digital idioms,
一见如故,yī jiàn rú gù,familiarity at first sight,数字成语 Digital idioms,
一箭双雕,yī jiàn shuāng diāo,"lit. one arrow, two golden eagles (idiom)/to kill two birds with one stone",数字成语 Digital idioms,
一脉相承,yī mài xiāng chéng,"traceable to the same stock (idiom); of a common origin (of trends, ideas etc)",数字成语 Digital idioms,
一目了然,yī mù liǎo rán,obvious at a glance (idiom),数字成语 Digital idioms,
一窍不通,yī qiào bù tōng,lit. doesn't (even) enter a single aperture (of one's head)/I don't understand a word (idiom)/it's all Greek to me,数字成语 Digital idioms,
一视同仁,yī shì tóng rén,to treat everyone equally favorably (idiom); not to discriminate between people,数字成语 Digital idioms,
一泻千里,yí xiè qiān lǐ,,数字成语 Digital idioms,
一草一木,yī cǎo yī mù,,数字成语 Digital idioms,
一成不变,yī chéng bù biàn,(idiom) immutable; impervious to change; set in stone,数字成语 Digital idioms,
一帆风顺,yī fán fēng shùn,propitious wind throughout the journey (idiom)/plain sailing/to go smoothly/have a nice trip!,数字成语 Digital idioms,
一鼓作气,yī gǔ zuò qì,in a spurt of energy,数字成语 Digital idioms,
一哄而散,yī hòng ér sàn,see 一哄而散[yi1 hong1 er2 san4],数字成语 Digital idioms,
