word_simplified,word_traditional,pinyin,pinyin_style2,hsk30_level,hsk30_level_zh,cc_cedict_english_definition
爱,愛,ài,ai4,1,一级,to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)
爱好,愛好,ài hào,ai4 hao4,1,一级,to like; to be fond of; to take pleasure in; to be keen on/interest; hobby/CL:個|个[ge4]
爸爸,爸爸,bà bà,ba4 ba4,1,一级,"(coll.) father; dad/CL:個|个[ge4],位[wei4]"
八,八,bā,ba1,1,一级,eight; 8
吧,吧,ba,ba,1,一级,(onom.) smack!
白,白,bái,bai2,1,一级,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera
百,百,bǎi,bai3,1,一级,hundred/numerous/all kinds of
白天,白天,bái tiān,bai2 tian1,1,一级,daytime/during the day/day/CL:個|个[ge4]
班,班,bān,ban1,1,一级,team; class; grade/(military) squad/work shift/CL:個|个[ge4]/classifier for groups of people and scheduled transport vehicles
半,半,bàn,ban4,1,一级,half/semi-/incomplete/(after a number) and a half
半年,半年,bàn nián,ban4 nian2,1,一级,half a year
半天,半天,bàn tiān,ban4 tian1,1,一级,half of the day/a long time/quite a while/midair/CL:個|个[ge4]
帮,"幇,幚,幫",bāng,bang1,1,一级,"to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/upper (of a shoe)/group/gang/clique/party/secret society"
帮忙,幫忙,bāng máng,bang1 mang2,1,一级,to help/to lend a hand/to do a favor/to do a good turn
包,包,bāo,bao1,1,一级,"to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/package/wrapper/container/bag/to hold or embrace/bundle/packet/CL:個|个[ge4],隻|只[zhi1]"
包子,包子,bāo zi,bao1 zi,1,一级,bao (steamed stuffed bun)/CL:個|个[ge4]
杯,"杯,桮,盃",bēi,bei1,1,一级,"variant of 杯[bei1]/trophy cup/classifier for certain containers of liquids: glass, cup"
北,北,běi,bei3,1,一级,north/(classical) to be defeated
