this_table,simplified,traditional,pinyin,pinyin_style2,zhuyin_bopomofo,jyupting,decomposition1,decomposition2_with_radical,meaning_decomposition2_with_radical,decomposition3_graphical,component_in,example_words,meaning_junda,key_word_rsh,hsk30_level,rank_rsh,frequency_junda,index_gscc,learning_order_ccm,cc_cedict_definitions
1,的,的,"de, dī, dí, dì","de, di1, di2, di4","ㄉㄜ˙, ㄉㄧ, ㄉㄧˊ, ㄉㄧˋ",dik1,"白,勺","白,勹,丶","white,wrap,dot","口,一,㇒,㇆,㇒,丶",菂,"的,中的,亚的斯亚贝巴,似的,假的,别的","(possessive particle)/of, really and truly, aim/clear",bull's eye,HSK_L1,70,1,1155,3,(bound form) bull's-eye; target
2,一,一,"yī, yí, yì","yi1, yi2, yi4","ㄧ, ㄧˊ, ㄧˋ",jat1,一,一,one,一,"一,上,大,子,下,天,本,开,日,无,与,长,十,工,三,正,业,两,二,或,更,再,马,五,且,王,万,干,士,未,百,亚,土,七,卫,互,丽,鱼,画,灭,丝,末,丁,乌,鸟,旦,曰,丛,戈,丘,丙,兀,歹,丞,廿,亟,丕,皿,亘,戌,卅,闩,韭,弋,豕,匚,靣,襾","一,一下,一起,一一,一下子,一些,一切,一半,一丁点,一下儿,一世,一丘之貉,一并",one/1/single/a(n),one,HSK_L1,1,2,1,12,"one/single/a (article)/as soon as/entire; whole; all; throughout/""one"" radical in Chinese characters (Kangxi radical 1)/also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
3,是,是,"shì, tí","shi4, ti2","ㄕˋ, ㄊㄧˊ",si6,"日,𤴓","日,一,龰","sun/day,one,N/A","口,一,一,龰","提,题,堤,匙,題,韪,缇,醍,鞮,鳀,隄,趧,鶗,騠,緹,禔,遈","是,但是,只是,可是,于是,是否,一无是处,不是,乃是,也就是说,似是而非",is/are/am/yes/to be,be,HSK_L1,394,3,1479,16,variant of 是[shi4]
4,不,不,"bù, fǒu, fōu, fū, bú","bu4, fou3, fou1, fu1, bu2","ㄅㄨˋ, ㄈㄡˇ, ㄈㄡ, ㄈㄨ, ㄅㄨˊ",bat1,"丆,卜","一,丿,卜","one,bend,divination","一,丿,丨,丶","还,否,环,怀,坏,杯,歪,甭,丕,钚,孬,罘,肧","不,不久,不但,不仅,不到,不同,一动不动,一去不复返,一问三不知,一尘不染,一成不变",(negative prefix)/not/no,no,HSK_L1,993,4,91,21,no; not so/(bound form) not; un-
5,了,了,"le, liǎo, liào","le, liao3, liao4","ㄌㄜ˙, ㄌㄧㄠˇ, ㄌㄧㄠˋ",liu5,"㇇,亅","㇇,亅","N/A,hook","㇇,亅","子,疗,辽,亨,钌,孓","了,为了,一目了然,不了了之,不在了,不得了,不行了","(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place",(-ed),HSK_L1,101,5,17,32,unofficial variant of 瞭[liao4]
6,在,在,zài,zai4,ㄗㄞˋ,zoi6,"𠂇,No glyph available","𠂇,亻,土","left hand,human,earth","𠂇,㇒,丨,一,丨,一",茬,"在,在一起,在乎,在于,存在,实在,不在乎,不在了,不自在,事在人为,何在",(located) at/in/exist,at,HSK_L1,624,6,388,35,to exist; to be alive/(of sb or sth) to be (located) at/(used before a verb to indicate an action in progress)
7,人,人,rén,ren2,ㄖㄣˊ,jan4,㇒,人,human,人,"人,个,大,以,会,从,全,合,内,给,论,入,认,命,队,决,界,该,规,领,今,快,失,夫,令,价,病,似,企,除,念,众,孩,验,答,脸,刻,创,拿,险,纳,冷,哈,余,检,阶,铁,份,块,核,介,剑,枪,缺,含,输,伦,喝,塔,途,轮,闪,贝,侠,签,茶,偷,愈,恰,徐,珍,零,舍,诊,抢,舒,黎,龄,拟,跌,怜,叙,扶,邻,揭,琴,峡,苍,涂,秩,夹,斜,肤,绘,歇,搭,舱,玲,祸,贪,翰,仓,葛,欠,拾,窝,铃,渴,愉,竭,吟,狭,於,盒,锅,啥,趁,仑,陕,伞,岭,脊,柄,喻,坠,漆,膝,咳,谬,骇,禽,谕,囚,逾,芙,丙,褐,颊,陋,鸽,遏,骸,尬,沦,窥,捡,涡,挟,诀,擒,瑜,廖,俭,呐,伶,敛,栓,迭,沧,洽,疮,筷,寥,拴,亥,疹,炳,俞,榆,颌,缪,戮,跄,拎,谒,睿,翎,呛,蔼,岑,捻,钠,嗒,瘩,纶,抉,淤,劾,痊,渝,噶,黏,矜,瀚,诠,蜗,蛤,荃,聆,佚,瘪,羚,抡,睑,讷,谀,蝎,荼,刽,氦,惬,黔,芥,瘠,阂,荟,龛,轶,怆,桧,芮,斡,荚,瘀,颔,苓,馀,娲,仄,偈,霭,殓,袂,赊,觎,腴,郏,藜,蛉,搽,臾,噙,泅,芩,衲,趺,晗,涔,揄,铨,佘,碣,醛,剐,呤,烩,鎗,苡,颏,褡,焓,陰,歙,羯,浃,蚨,炔,庾,疥,翕,驗,阏,钤,脍,畲,衾,鲶,萸,妗,稔,蚧,菸,呋,醪,姒,蚋,侩,莴,囵,曷,餮,郃,搿,蜍,袷,騔,論,溆,帙,蛱,囹,赅,嵴,炝,診,硷,畛,擀,箧,鹨,胗,飲,轸,泠,佥,隳,伧,骱,瓴,衿,麸,滁,狯,硖,嵛,肭,裣,蓼,戗,難,哙,殄,谂,窬,筌,垓,納,檎,猞,锎,砼,昃,莶,腧,枘,呙,規,給,豂,潋,膠,镠,蝓,氽,貪,餂,镎,臥,顟,險,餘,埚,铗,浍,踰,陔,瘗,該,狳,埝,瘐,飯,鸰,饸,邴,鉁,領,臉,铪,鹼,簳,袊,仝,餬,鹡,貐,蹐,瘳,輸,齡,顩,閤,飽,鲙,舖,祫,餗,饋,飢,郐,隃,蒼,閃,閷,舲,胲,饘,篸,袠,饑,菍,靹,飭,酴,猃,鞨,觖,荅,餖,鶺,瞼,縿,鉄,飩,鴿,笭,觼,跉,輪,鄶,込,荄,詥,鈇,鴃,盦,紩,餅,矝,笖,縕,隂,飼,禬,餦,粭,詤,柃,毹,脶,餱,瓞,翐,鶡,籂,軡,詮,謬,餁,餃,餵,砛,肣,薀,袗,盫,矎,鍮,闚,鬖,絟,苶,蝕,轇,轕,辁,駃,鹖,稌,蹌,蹹,餉,齢,芵,頷,繆,菕,蔘,蠄,訣,諛,贂,鈉,鈴,鐖,霠,韽,飳,餆,館,饅,魜,饟,饈,鏐,餚,鬶,秢,篬,蒕,谽,飰,餇,饐,藑,眣,笍,紾,袟,趝,輵,邌,飦,餔,鯩,鴂,鸧,眕,硂,磣,腀,螥,詅,赽,鈵,靄,鞿,飥,飪,餒,饆,鵨,羷,饝,騇,趹,羭,衸,簽,緰,臈,艙,蕵,蠍,訡,賅,跈,醞,銓,镻,頜,飷,飾,餀,餌,餓,饒,饡,麩,翖,闟,瞡,磯,詄,譗,餼,驂,饌,鎝,羮,禨,篨,襘,餟,餫,餽,頦,魿,鴒,在,他,们,你,作,但,使,体,什,代,信,化,位,任,何,做,件,保,便,像,住,传,候,存,价,花,华,府,似,仅,例,供,依,低,值,仍,倒,假,伤,夜,停,您,修,伊,佛,优,份,货,付,伯,附,伦,俄,健,借,伙,亿,休,侵,促,伟,伸,偏,符,侠,侧,债,仙,仿,倾,仪,偷,伴,缩,袋,估,偿,俗,仁,偶,仰,伏,倍,凭,荷,液,伍,侦,佩,堡,储,仇,伪,仔,俩,腐,佳,贷,仲,仗,宿,侯,伐,仆,俊,侍,傅,俱,鹰,傲,傻,儒,僧,悠,俘,催,佐,咐,喉,倘,倡,猴,渊,僚,鞭,俯,倦,僵,侨,荐,哗,伽,佣,雁,傍,倩,黛,倚,侮,侣,侄,阀,俺,佑,伺,倏,僻,俏,俭,伶,仕,侈,靴,赁,佟,侬,佃,倪,侃,佬,伎,伢,袱,侥,倭,佯,攸,腑,俾,褒,倔,俨,俐,腋,俟,偎,侏,偕,傩,讹,膺,筏,茬,佚,僭,傣,桦,掖,俸,蓓,傀,偌,葆,儡,佼,筱,伫,岱,嗬,蓿,偃,驸,倌,濮,偈,咻,俚,俑,侗,晔,伲,俦,苻,鞯,儆,僮,烨,佗,偻,俪,仨,佞,赝,僖,咿,茯,骅,倜,傥,莅,煲,俣,褓,仃,俳,伉,佝,佻,倨,恁,侩,莜,傈,庥,僳,鲋,侪,佰,僦,仟,跗,玳,佶,佤,仞,铧,伥,俅,倮,伧,荏,垡,倥,倬,傧,侔,偾,拊,儋,隹,偬,仫,糇,鸺,仡,伛,僬,俜,缑,縮,侉,髹,佴,傺,侑,仵,眾,蓚,缏,佾,儇,脩,篌,篠,貅,袝,蒨,翛,仂,堠,茌,睺,葰,祔,仳,仉,糀,瘊,絛,軅,筰,茷,賲,貨,訛,鷹,箯,袵,軈,鵀,蒞,佧,餱,鞗,餁,鰷,臮,蓨,鵂,茽,粛,秹,簘,銝,絍,贋,翭,蛜,跾,銌,鯈,篟,纀,緱,緶,葔,葠,藵,貸,臶,蓧,縧,鮘","人,人生,别人,女人,男人,一鸣惊人,不为人知,世人,丢人,中国人,一家人,丈人,不人道,不可告人,不如人意",man/person/people,person,HSK_L1,793,7,10,1,"person; people/CL:個|个[ge4],位[wei4]"
8,有,有,"yǒu, yòu, wěi","you3, you4, wei3","ㄧㄡˇ, ㄧㄡˋ, ㄨㄟˇ",jau5,"𠂇,月","𠂇,月","left hand,moon","𠂇,冂,二","郁,贿,肴,囿,宥,鲔,侑,铕,洧,賄,龓,鮪","有,没有,具有,只有,含有,唯有,所有,一无所有,三生有幸,事业有成,互通有无,井井有条",to have/there is/there are/to exist/to be,possess,HSK_L1,79,8,390,36,to have; there is/(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)
9,我,我,wǒ,wo3,ㄨㄛˇ,ngo5,"手,戈","手,戈","hand,spear","㇒,亅,二,戈","俄,饿,哦,鹅,娥,峨,蛾,硪,莪,義,锇,睋,餓,鵝","我,我们,你死我活,忘我,我人,我国,我方",I/me/myself,I,HSK_L1,588,9,761,58,I; me; my
10,他,他,"tā, tuó","ta1, tuo2","ㄊㄚ, ㄊㄨㄛˊ",taa1,"亻,也","亻,乚,㇆,丨","human,second,N/A,line","㇒,丨,乚,㇆,丨",他 not found,"他,他人,他们,其他,他加禄语,他国,他杀,他乡,别无他法",he/him,he,HSK_L1,810,10,277,69,he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other
